ลำดับ,ชื่อไทย,ชื่ออังกฤษ,หมวด,URL_รูปภาพ(วางตรงนี้)
1,"ข้าวสวย","White Rice",thai,
2,"ข้าวผัด","Fried Rice",thai,
3,"ก๋วยเตี๋ยวน้ำ","Noodle Soup",thai,
4,"ผัดไทย","Pad Thai",thai,
5,"ต้มยำกุ้ง","Tom Yum",thai,
6,"ส้มตำ","Papaya Salad",thai,
7,"ข้าวมันไก่","Chicken Rice",thai,
8,"แกงเขียวหวาน","Green Curry",thai,
9,"ผัดกะเพรา","Basil Stir Fry",thai,
10,"ต้มข่าไก่","Coconut Soup",thai,
11,"มาม่า","Instant Noodles",thai,
12,"ไข่ดาว","Fried Egg",thai,
13,"ข้าวต้ม","Rice Porridge",thai,
14,"ซูชิ","Sushi",japanese,
15,"ราเมน","Ramen",japanese,
16,"อุด้ง","Udon",japanese,
17,"ซาชิมิ","Sashimi",japanese,
18,"ทงคัตสึ","Tonkatsu",japanese,
19,"บิบิมบับ","Bibimbap",korean,
20,"กิมจิ","Kimchi",korean,
21,"บูลโกกิ","Bulgogi",korean,
22,"ไก่เกาหลีทอด","Korean Fried Chicken",korean,
23,"ติ่มซำ","Dim Sum",chinese,
24,"เกี๊ยวซ่า","Gyoza",chinese,
25,"หมูกรอบ","Crispy Pork",chinese,
26,"พิซซ่า","Pizza",italian,
27,"สปาเก็ตตี้","Spaghetti",italian,
28,"คาร์โบนาร่า","Carbonara",italian,
29,"บัตเตอร์ชิกเก้น","Butter Chicken",indian,
30,"นาน","Naan",indian,
31,"ทันดูรีชิกเก้น","Tandoori Chicken",indian,
32,"เบอร์เกอร์","Burger",fastfood,
33,"เฟรนช์ฟรายส์","French Fries",fastfood,
34,"ไก่ทอด","Fried Chicken",fastfood,
35,"อกไก่ย่าง","Grilled Chicken",healthy,
36,"ซาลมอนย่าง","Grilled Salmon",healthy,
37,"ข้าวโอ๊ต","Oatmeal",healthy,
38,"กรีกโยเกิร์ต","Greek Yogurt",healthy,
39,"กาแฟดำ","Black Coffee",drink,
40,"ลาเต้","Latte",drink,
41,"ชาเขียวนม","Milk Tea",drink,
42,"ลาบหมู","Spicy Pork Salad",thai,
43,"แกงส้ม","Sour Curry",thai,
44,"ผัดซีอิ๊ว","Pad See Ew",thai,
45,"ทอดมัน","Fish Cake",thai,
46,"ห่อหมก","Steamed Fish Curry",thai,
